Category,Product Name,Material/Specs,Features,Technical Details,Reference Website
Corporate Gifts,Branded Mugs,Ceramic (11oz),Full color wrap printing; dishwasher safe,Dye-sublimation print; 330ml capacity,Zamadina
Corporate Gifts,Custom Notebooks,PU Leather Cover / 80gsm paper,Embossed logo; elastic band; ribbon marker,A5 size; Ruled pages; 100 sheets,Zamadina
Corporate Gifts,Lanyards & ID Cards,Polyester / PVC,Sublimation printed lanyards; rigid ID holders,20mm width lanyard; CR80 size cards,DLX Print
Corporate Gifts,Promotional Pens,Metal or Premium Plastic,Engraved logo; twist or click mechanism,Blue/Black ink; 1.0mm ballpoint,Zamadina
Workspace Branding,Frosted Office Stickers,Vinyl Frosted Film,Privacy control; custom cut patterns,Translucent finish; indoor use 5+ years,DLX Print
Workspace Branding,Acrylic Reception Signage,Clear/Colored Acrylic (5mm - 10mm),Laser cut letters; standoff wall mounts,3D effect; available in brushed metal finishes,DLX Print
Workspace Branding,Floor Stickers,Anti-slip Vinyl,Scuff resistant; heavy foot traffic suitable,R10 slip rating; removable adhesive,DLX Print
Workspace Branding,Wooden Frames,Oak/Walnut Finish Wood,Glass front; custom sizing,Hanging hardware included,DLX Print
Exhibitions & Events,Pop-up Backdrops,Fabric with Aluminum Frame,Easy assembly; wrinkle-free fabric,Magnetic locks; comes with carry case,Zamadina
Exhibitions & Events,Roll-up Banners,PVC / PP Material,Retractable aluminum base; high resolution,85cm x 200cm standard; outdoor suitable,DLX Print
Exhibitions & Events,Totem Display Stands,Corrugated Plastic / MDF,Double-sided graphics; free standing,Custom die-cut shapes; lightweight,DLX Print
Exhibitions & Events,Exhibition Stands (Custom),Wood / Aluminum / Forex,Modular design; integrated lighting; TV mounts,Fire-rated materials; 3x3m standard base,Zamadina
Flags & Fabric,Teardrop Flags,Polyester Flag Material,Wind resistant; vibrant double-sided print,Includes spike or cross base; 2m to 4m height,Zamadina
Flags & Fabric,Custom Country Flags,110gsm Knitted Polyester,D-rings or sleeves for pole mounting,UV resistant inks; double stitched edges,Zamadina
Flags & Fabric,Table Cloths (Printed),200gsm Stretch/Normal Fabric,Full coverage print; fits standard trestle tables,Washable; fire retardant options available,Zamadina
Signage,Flex Face Signage,Translucent Flex Material,LED backlit; durable for outdoor weather,Aluminum cabinet box; UV protected print,Generic
Signage,3D LED Lettering,Stainless Steel / Acrylic,Front lit or back-halo lit; waterproof LEDs,12V IP67 LED modules; rust-proof casing,DLX Print
Signage,Name Plates,Brass / Aluminum / Acrylic,Engraved names; sliding occupancy indicators,Desk or wall mount options,Zamadina
Stationery,Business Cards,350gsm - 450gsm Art Card,Matte/Gloss lamination; Spot UV; Foil Stamping,90x50mm standard size; die-cut corners,DLX Print
Stationery,Flyers & Brochures,130gsm - 170gsm Gloss Paper,Bi-fold or Tri-fold; brilliant color reproduction,A4 / A5 sizes; high-speed offset print,DLX Print
Stationery,Letterheads,100gsm - 120gsm Premium Uncoated,Laser printer safe; premium writing feel,A4 size; Pantone spot color matching,DLX Print
Stationery,Invoice & Receipt Books,Carbonless NCR Paper (60gsm),Duplicate or Triplicate copies; perforated pages,Consecutive numbering; cardboard backing,Zamadina
Packaging,Die-cut Paper Bags,150gsm - 250gsm Kraft/Art Paper,Rope or ribbon handles; reinforced bottom,Matte lamination; spot UV logo,Generic
Packaging,Corrugated Mailer Boxes,E-flute Corrugated Board,Custom sizing; eco-friendly inks,Crush resistant; flat-pack delivery,Generic
Packaging,Custom Stickers & Labels,White Vinyl / Clear PP,Die-cut to any shape; waterproof,Supplied on rolls or individual sheets,Zamadina
Vehicle Branding,Full Vehicle Wrap,Avery Dennison / 3M Cast Vinyl,Conforms to deep curves; protects original paint,Air-release adhesive; anti-fade overlaminate,Zamadina
Vehicle Branding,Partial Fleet Branding,Polymeric Vinyl,Cost effective; high impact graphics,Contour-cut logos; 3-5 year lifespan,Zamadina
Large Format Prints,Outdoor Banners,Frontlit / Blockout PVC (400gsm+),Eyelets and reinforced hemming,Weatherproof solvent inks,DLX Print
Large Format Prints,Canvas Prints,100% Cotton Canvas (340gsm),Gallery wrapped on wooden stretcher bars,Archival quality inks; fade resistant,Zamadina
Large Format Prints,Posters,200gsm Photo Paper,Satin or Gloss finish,A2 / A1 / A0 sizes; crisp text rendering,DLX Print
