Individual Product,Sub-Category
Glossy Paper 115gsm,Flyers & Brochures
Glossy Paper 135gsm,Flyers & Brochures
Glossy Paper 170gsm,Flyers & Brochures
Wood Free Paper 100gsm,Flyers & Brochures
Glossy Paper 115gsm,Flyers & Brochures
Glossy Paper 135gsm,Flyers & Brochures
Glossy Paper 170gsm,Flyers & Brochures
Glossy Paper 200gsm,Flyers & Brochures
Wood Free Paper 100gsm,Flyers & Brochures
100lb Gloss Text,Flyers & Brochures
100lb+Matte,Flyers & Brochures
100lb+UV,Flyers & Brochures
80lb Enviro Uncoated,Flyers & Brochures
70lb Linen Uncoated,Flyers & Brochures
Glossy Paper 115gsm,Flyers & Brochures
Glossy Paper 135gsm,Flyers & Brochures
Glossy Paper 170gsm,Flyers & Brochures
Glossy Paper 200gsm,Flyers & Brochures
Wood Free Paper 100gsm,Flyers & Brochures
Glossy Paper 115gsm,Flyers & Brochures
Glossy Paper 135gsm,Flyers & Brochures
Glossy Paper 170gsm,Flyers & Brochures
Wood Free Paper 100gsm,Flyers & Brochures
Glossy Paper 115gsm,Flyers & Brochures
Glossy Paper 135gsm,Flyers & Brochures
Glossy Paper 170gsm,Flyers & Brochures
Wood Free Paper 100gsm,Flyers & Brochures
100lb Gloss Text,Flyers & Brochures
100lb+UV,Flyers & Brochures
100lb+Matte,Flyers & Brochures
80lb Enviro Uncoated,Flyers & Brochures
Glossy Paper 115gsm,Flyers & Brochures
Glossy Paper 135gsm,Flyers & Brochures
Glossy Paper 170gsm,Flyers & Brochures
Wood Free Paper 100gsm,Flyers & Brochures
Z-Fold Glossy,Flyers & Brochures
Z-Fold Matte,Flyers & Brochures
Gate-Fold Glossy,Flyers & Brochures
Gate-Fold Matte,Flyers & Brochures
14pt+Matte Finish,Flyers & Brochures
10pt+Matte,Flyers & Brochures
10pt+AQ,Flyers & Brochures
13pt Enviro,Flyers & Brochures
13pt Linen,Flyers & Brochures
Specialty – Metallic Foil,Flyers & Brochures
Specialty – Kraft,Flyers & Brochures
Specialty – Durable,Flyers & Brochures
Specialty – Spot UV,Flyers & Brochures
Specialty – Pearl,Flyers & Brochures
10pt+Matte,Flyers & Brochures
13pt Enviro,Flyers & Brochures
13pt Linen,Flyers & Brochures
18pt Matte Lam+Spot UV,Flyers & Brochures
Wood Free Paper 100gsm,Stationery
Wood Free Paper 100gsm,Stationery
Specialty – Metallic Foil,Stationery
80lb Gloss Text,Booklets & Catalogues
100lb Gloss Text,Booklets & Catalogues
60lb Offset Text,Booklets & Catalogues
80lb Silk Text,Booklets & Catalogues
100lb Silk Text,Booklets & Catalogues
Gloss Cover,Booklets & Catalogues
Matte Cover,Booklets & Catalogues
Soft Touch Cover,Booklets & Catalogues
Standard Wire-O,Booklets & Catalogues
Twin Loop Wire,Booklets & Catalogues
Perfect Bound,Booklets & Catalogues
B2B Catalogue,Booklets & Catalogues
Retail Catalogue,Booklets & Catalogues
Rolled Certificate,Certificates & Invitations
Framed Certificate,Certificates & Invitations
Framed Award,Certificates & Invitations
Rolled Award,Certificates & Invitations
14pt Matte Finish,Certificates & Invitations
14pt AQ,Certificates & Invitations
14pt UV,Certificates & Invitations
Luxury Card,Certificates & Invitations
Boxed Set,Certificates & Invitations
Foil Stamped,Certificates & Invitations
Standard Thank You Card,Certificates & Invitations
80lb Gloss Text,Calendars
100lb Gloss Text,Calendars
14pt Numbered,Tickets & Coupons
Perforated Ticket,Tickets & Coupons
Standard Raffle Book,Tickets & Coupons
Numbered Raffle Book,Tickets & Coupons
Standard Scratch Card,Tickets & Coupons
Standard Gift Voucher,Tickets & Coupons
Folded Gift Voucher,Tickets & Coupons
Stamp Card,Tickets & Coupons
Points Card,Tickets & Coupons
Glossy Lamination 350gsm,Menus & Placemats
4 Color – Wood Free 80gsm,Menus & Placemats
4 Color – Wood Free 100gsm,Menus & Placemats
4 Color – Glossy 90gsm,Menus & Placemats
4 Color – Glossy 135gsm,Menus & Placemats
4 Color – Economy Paper,Menus & Placemats
1-2 Color – Glossy 90gsm,Menus & Placemats
1-2 Color – Glossy 135gsm,Menus & Placemats
1-2 Color – Wood Free 80gsm,Menus & Placemats
1-2 Color – Wood Free 100gsm,Menus & Placemats
1-2 Color – Economy Paper,Menus & Placemats
Glossy 170gsm,Die-Cut Products
Cane Design Matt Lam 350gsm,Die-Cut Products
Butterfly Design Matt Lam 350gsm,Die-Cut Products
Rounded Corner Matt Lam 350gsm,Die-Cut Products
Glossy Lamination 80gsm,Die-Cut Products
Gold Foil Glossy Lamination 80gsm,Die-Cut Products
Matt Lamination,Die-Cut Products
Spot UV Matt Lamination,Die-Cut Products
Gold Foil Spot UV Matt Lamination,Die-Cut Products
Glossy Lamination 80gsm,Stickers
Gold Foil Glossy Lamination 80gsm,Stickers
Standard Receipt Voucher,Voucher Books
Duplicate Receipt Voucher,Voucher Books
Triplicate Receipt Voucher,Voucher Books
Standard Petty Cash,Voucher Books
Duplicate Petty Cash,Voucher Books
Standard LPO,Voucher Books
Duplicate LPO,Voucher Books
Standard DO Book,Voucher Books
Duplicate DO Book,Voucher Books
14pt Variable,Variable Printing
Matte Variable,Variable Printing
UV Variable,Variable Printing
4 Color – Glossy 90gsm,Crowd Promotion
4 Color – Glossy 135gsm,Crowd Promotion
4 Color – Wood Free 80gsm,Crowd Promotion
4 Color – Wood Free 100gsm,Crowd Promotion
4 Color – Economy Paper,Crowd Promotion
1-2 Color – Glossy 90gsm,Crowd Promotion
1-2 Color – Glossy 135gsm,Crowd Promotion
1-2 Color – Wood Free 80gsm,Crowd Promotion
1-2 Color – Wood Free 100gsm,Crowd Promotion
1-2 Color – Economy Paper,Crowd Promotion
CD Printing,Crowd Promotion
DVD Printing,Crowd Promotion
DVD Cover,Crowd Promotion
Stretched Canvas Print,Premium & Specialty Gifts
HD Photo Panel,Premium & Specialty Gifts
Custom Puzzle,Premium & Specialty Gifts
Keychain (Pack of 10),Premium & Specialty Gifts
Standard Acrylic Trophy,Premium & Specialty Gifts
Custom Acrylic Trophy,Premium & Specialty Gifts
Standard Ramadan Box,Premium & Specialty Gifts
Premium Eid Box,Premium & Specialty Gifts
Kraft White – Normal,Bags & Carriers
Kraft White – Top Fold,Bags & Carriers
Kraft Brown Recycled – Normal,Bags & Carriers
Kraft Brown Recycled – Top Fold,Bags & Carriers
Kraft Brown Virgin – Normal,Bags & Carriers
Kraft Brown Virgin – Top Fold,Bags & Carriers
Medium,Bags & Carriers
4mm Coroplast A-Frame,Frame Banners & Stands
Spring A-Board,Frame Banners & Stands
