sku,name,categories,image_path,status
PS-001,"Matt Lamination 350gsm","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-001.webp",matched
PS-002,"Matt Lamination 400gsm","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-002.webp",matched
PS-003,"Glossy Lamination 400gsm","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-003.webp",matched
PS-004,"Spot UV Matt Lamination 400gsm","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-004.webp",matched
PS-005,"Gold Foil Matt Lamination 400gsm","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-005.webp",matched
PS-006,"Gold Foil Spot UV Matt Lamination 400gsm","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-006.webp",matched
PS-007,"Art Paper (Without Lamination) 400gsm","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-007.webp",matched
PS-008,"Business Card Box","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-008.webp",matched
PS-009,14pt,"Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-009.webp",matched
PS-010,14pt+Matte,"Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-010.webp",matched
PS-011,16pt+Matte,"Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-011.webp",matched
PS-012,14pt+UV,"Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-012.webp",matched
PS-013,16pt+UV,"Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-013.webp",matched
PS-014,"18pt Gloss Lam","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-014.webp",matched
PS-015,"18pt Matte/Silk Lam","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-015.webp",matched
PS-016,14pt+AQ,"Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-016.webp",matched
PS-017,16pt+AQ,"Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-017.webp",matched
PS-018,"18pt Writable","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-018.webp",matched
PS-019,"13pt Enviro Uncoated","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-019.webp",matched
PS-020,"13pt Linen Uncoated","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-020.webp",matched
PS-021,"14pt Writable+AQ","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-021.webp",matched
PS-022,"14pt Writable+UV","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-022.webp",matched
PS-023,"Rounded Corner Matt Lamination 400gsm","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-023.webp",matched
PS-024,"Rounded Corner Glossy Lamination 400gsm","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-024.webp",matched
PS-025,"Rounded Corner PET Glossy Lamination 760mic","Print & Stationery > Business Cards","G:/My Drive/Website Images\PS-025.webp",matched
