Type,SKU,Name,Published,Visibility in catalog,Short description,Description,In stock?,Categories,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _yoast_wpseo_title,slug,Image Alt Text
variable,PS-001,Standard Business Cards,1,visible,"Make a lasting first impression with crisp, full-colour standard business cards printed on premium card stock. Available in multiple sizes and weights to suit any brand.","<div class=""ea-prod-desc""><p>Your business card is often the first physical touchpoint a client has with your brand. At eprint.ae, our standard business cards are printed using high-resolution digital presses that deliver sharp text, vibrant colours, and consistent quality across every card in your order. Choose from a range of card stock weights and coating options to find the finish that best represents your business. Whether you are a startup building your first brand identity or an established corporate ordering in bulk, we offer fast turnaround times with free delivery across Dubai, Sharjah, and Abu Dhabi. Our team ensures colour accuracy and clean cutting on every batch, so your cards always look professional. Upload your ready artwork or let our design team help you create something exceptional.</p></div>
<h4>🏆 Key Features</h4><ul><li>✔ Full-colour CMYK printing</li><li>✔ Sharp text and fine detail reproduction</li><li>✔ Multiple card stock weights available</li><li>✔ Fast turnaround – standard and express options</li><li>✔ Free delivery across UAE</li><li>✔ Consistent colour across all cards</li><li>✔ Compatible with standard business card holders</li></ul>
<h4>📋 Material / Substrate Options</h4><ul><li>✔ 14pt Gloss Card</li><li>✔ 16pt Gloss Card</li><li>✔ 18pt Matte/Silk Laminated</li><li>✔ 13pt Uncoated</li><li>✔ 14pt Writable</li></ul>
<h4>✨ Finish Options</h4><ul><li>✔ Matte Lamination</li><li>✔ Gloss UV</li><li>✔ Aqueous Coating (AQ)</li><li>✔ Soft Touch Lamination</li><li>✔ Uncoated</li></ul>
<h4>💼 Ideal Use Cases</h4><ul><li>✔ Corporate professionals</li><li>✔ Sales teams</li><li>✔ Real estate agents</li><li>✔ Entrepreneurs & startups</li><li>✔ Networking events</li></ul>",1,Print & Stationery > Business Cards,,Options,"14pt,14pt+Matte,16pt+Matte,14pt+UV,16pt+UV,18pt Gloss Lam,18pt Matte/Silk Lam,14pt+AQ,16pt+AQ,18pt Writable,13pt Enviro Uncoated,13pt Linen Uncoated,14pt Writable+AQ,14pt Writable+UV",1,0,Standard Business Cards Printing Dubai | eprint.ae,matt-lamination-350gsm,"Standard Business Cards printing in Dubai, UAE - eprint.ae"
variation,PS-009,14pt,1,visible,"Make a lasting first impression with crisp, full-colour standard business cards printed on premium card stock. Available in multiple sizes and weights to suit any brand.","<div class=""ea-prod-desc""><p>Your business card is often the first physical touchpoint a client has with your brand. At eprint.ae, our standard business cards are printed using high-resolution digital presses that deliver sharp text, vibrant colours, and consistent quality across every card in your order. Choose from a range of card stock weights and coating options to find the finish that best represents your business. Whether you are a startup building your first brand identity or an established corporate ordering in bulk, we offer fast turnaround times with free delivery across Dubai, Sharjah, and Abu Dhabi. Our team ensures colour accuracy and clean cutting on every batch, so your cards always look professional. Upload your ready artwork or let our design team help you create something exceptional.</p></div>
<h4>🏆 Key Features</h4><ul><li>✔ Full-colour CMYK printing</li><li>✔ Sharp text and fine detail reproduction</li><li>✔ Multiple card stock weights available</li><li>✔ Fast turnaround – standard and express options</li><li>✔ Free delivery across UAE</li><li>✔ Consistent colour across all cards</li><li>✔ Compatible with standard business card holders</li></ul>
<h4>📋 Material / Substrate Options</h4><ul><li>✔ 14pt Gloss Card</li><li>✔ 16pt Gloss Card</li><li>✔ 18pt Matte/Silk Laminated</li><li>✔ 13pt Uncoated</li><li>✔ 14pt Writable</li></ul>
<h4>✨ Finish Options</h4><ul><li>✔ Matte Lamination</li><li>✔ Gloss UV</li><li>✔ Aqueous Coating (AQ)</li><li>✔ Soft Touch Lamination</li><li>✔ Uncoated</li></ul>
<h4>💼 Ideal Use Cases</h4><ul><li>✔ Corporate professionals</li><li>✔ Sales teams</li><li>✔ Real estate agents</li><li>✔ Entrepreneurs & startups</li><li>✔ Networking events</li></ul>",1,,PS-001,Options,14pt,,0,Standard Business Cards Printing Dubai | eprint.ae,,"Standard Business Cards printing in Dubai, UAE - eprint.ae"
variation,PS-010,14pt+Matte,1,visible,"Make a lasting first impression with crisp, full-colour standard business cards printed on premium card stock. Available in multiple sizes and weights to suit any brand.","<div class=""ea-prod-desc""><p>Your business card is often the first physical touchpoint a client has with your brand. At eprint.ae, our standard business cards are printed using high-resolution digital presses that deliver sharp text, vibrant colours, and consistent quality across every card in your order. Choose from a range of card stock weights and coating options to find the finish that best represents your business. Whether you are a startup building your first brand identity or an established corporate ordering in bulk, we offer fast turnaround times with free delivery across Dubai, Sharjah, and Abu Dhabi. Our team ensures colour accuracy and clean cutting on every batch, so your cards always look professional. Upload your ready artwork or let our design team help you create something exceptional.</p></div>
<h4>🏆 Key Features</h4><ul><li>✔ Full-colour CMYK printing</li><li>✔ Sharp text and fine detail reproduction</li><li>✔ Multiple card stock weights available</li><li>✔ Fast turnaround – standard and express options</li><li>✔ Free delivery across UAE</li><li>✔ Consistent colour across all cards</li><li>✔ Compatible with standard business card holders</li></ul>
<h4>📋 Material / Substrate Options</h4><ul><li>✔ 14pt Gloss Card</li><li>✔ 16pt Gloss Card</li><li>✔ 18pt Matte/Silk Laminated</li><li>✔ 13pt Uncoated</li><li>✔ 14pt Writable</li></ul>
<h4>✨ Finish Options</h4><ul><li>✔ Matte Lamination</li><li>✔ Gloss UV</li><li>✔ Aqueous Coating (AQ)</li><li>✔ Soft Touch Lamination</li><li>✔ Uncoated</li></ul>
<h4>💼 Ideal Use Cases</h4><ul><li>✔ Corporate professionals</li><li>✔ Sales teams</li><li>✔ Real estate agents</li><li>✔ Entrepreneurs & startups</li><li>✔ Networking events</li></ul>",1,,PS-001,Options,14pt+Matte,,0,Standard Business Cards Printing Dubai | eprint.ae,,"Standard Business Cards printing in Dubai, UAE - eprint.ae"
variation,PS-011,16pt+Matte,1,visible,"Make a lasting first impression with crisp, full-colour standard business cards printed on premium card stock. Available in multiple sizes and weights to suit any brand.","<div class=""ea-prod-desc""><p>Your business card is often the first physical touchpoint a client has with your brand. At eprint.ae, our standard business cards are printed using high-resolution digital presses that deliver sharp text, vibrant colours, and consistent quality across every card in your order. Choose from a range of card stock weights and coating options to find the finish that best represents your business. Whether you are a startup building your first brand identity or an established corporate ordering in bulk, we offer fast turnaround times with free delivery across Dubai, Sharjah, and Abu Dhabi. Our team ensures colour accuracy and clean cutting on every batch, so your cards always look professional. Upload your ready artwork or let our design team help you create something exceptional.</p></div>
<h4>🏆 Key Features</h4><ul><li>✔ Full-colour CMYK printing</li><li>✔ Sharp text and fine detail reproduction</li><li>✔ Multiple card stock weights available</li><li>✔ Fast turnaround – standard and express options</li><li>✔ Free delivery across UAE</li><li>✔ Consistent colour across all cards</li><li>✔ Compatible with standard business card holders</li></ul>
<h4>📋 Material / Substrate Options</h4><ul><li>✔ 14pt Gloss Card</li><li>✔ 16pt Gloss Card</li><li>✔ 18pt Matte/Silk Laminated</li><li>✔ 13pt Uncoated</li><li>✔ 14pt Writable</li></ul>
<h4>✨ Finish Options</h4><ul><li>✔ Matte Lamination</li><li>✔ Gloss UV</li><li>✔ Aqueous Coating (AQ)</li><li>✔ Soft Touch Lamination</li><li>✔ Uncoated</li></ul>
<h4>💼 Ideal Use Cases</h4><ul><li>✔ Corporate professionals</li><li>✔ Sales teams</li><li>✔ Real estate agents</li><li>✔ Entrepreneurs & startups</li><li>✔ Networking events</li></ul>",1,,PS-001,Options,16pt+Matte,,0,Standard Business Cards Printing Dubai | eprint.ae,,"Standard Business Cards printing in Dubai, UAE - eprint.ae"
variation,PS-012,14pt+UV,1,visible,"Make a lasting first impression with crisp, full-colour standard business cards printed on premium card stock. Available in multiple sizes and weights to suit any brand.","<div class=""ea-prod-desc""><p>Your business card is often the first physical touchpoint a client has with your brand. At eprint.ae, our standard business cards are printed using high-resolution digital presses that deliver sharp text, vibrant colours, and consistent quality across every card in your order. Choose from a range of card stock weights and coating options to find the finish that best represents your business. Whether you are a startup building your first brand identity or an established corporate ordering in bulk, we offer fast turnaround times with free delivery across Dubai, Sharjah, and Abu Dhabi. Our team ensures colour accuracy and clean cutting on every batch, so your cards always look professional. Upload your ready artwork or let our design team help you create something exceptional.</p></div>
<h4>🏆 Key Features</h4><ul><li>✔ Full-colour CMYK printing</li><li>✔ Sharp text and fine detail reproduction</li><li>✔ Multiple card stock weights available</li><li>✔ Fast turnaround – standard and express options</li><li>✔ Free delivery across UAE</li><li>✔ Consistent colour across all cards</li><li>✔ Compatible with standard business card holders</li></ul>
<h4>📋 Material / Substrate Options</h4><ul><li>✔ 14pt Gloss Card</li><li>✔ 16pt Gloss Card</li><li>✔ 18pt Matte/Silk Laminated</li><li>✔ 13pt Uncoated</li><li>✔ 14pt Writable</li></ul>
<h4>✨ Finish Options</h4><ul><li>✔ Matte Lamination</li><li>✔ Gloss UV</li><li>✔ Aqueous Coating (AQ)</li><li>✔ Soft Touch Lamination</li><li>✔ Uncoated</li></ul>
<h4>💼 Ideal Use Cases</h4><ul><li>✔ Corporate professionals</li><li>✔ Sales teams</li><li>✔ Real estate agents</li><li>✔ Entrepreneurs & startups</li><li>✔ Networking events</li></ul>",1,,PS-001,Options,14pt+UV,,0,Standard Business Cards Printing Dubai | eprint.ae,,"Standard Business Cards printing in Dubai, UAE - eprint.ae"
variation,PS-013,16pt+UV,1,visible,"Make a lasting first impression with crisp, full-colour standard business cards printed on premium card stock. Available in multiple sizes and weights to suit any brand.","<div class=""ea-prod-desc""><p>Your business card is often the first physical touchpoint a client has with your brand. At eprint.ae, our standard business cards are printed using high-resolution digital presses that deliver sharp text, vibrant colours, and consistent quality across every card in your order. Choose from a range of card stock weights and coating options to find the finish that best represents your business. Whether you are a startup building your first brand identity or an established corporate ordering in bulk, we offer fast turnaround times with free delivery across Dubai, Sharjah, and Abu Dhabi. Our team ensures colour accuracy and clean cutting on every batch, so your cards always look professional. Upload your ready artwork or let our design team help you create something exceptional.</p></div>
<h4>🏆 Key Features</h4><ul><li>✔ Full-colour CMYK printing</li><li>✔ Sharp text and fine detail reproduction</li><li>✔ Multiple card stock weights available</li><li>✔ Fast turnaround – standard and express options</li><li>✔ Free delivery across UAE</li><li>✔ Consistent colour across all cards</li><li>✔ Compatible with standard business card holders</li></ul>
<h4>📋 Material / Substrate Options</h4><ul><li>✔ 14pt Gloss Card</li><li>✔ 16pt Gloss Card</li><li>✔ 18pt Matte/Silk Laminated</li><li>✔ 13pt Uncoated</li><li>✔ 14pt Writable</li></ul>
<h4>✨ Finish Options</h4><ul><li>✔ Matte Lamination</li><li>✔ Gloss UV</li><li>✔ Aqueous Coating (AQ)</li><li>✔ Soft Touch Lamination</li><li>✔ Uncoated</li></ul>
<h4>💼 Ideal Use Cases</h4><ul><li>✔ Corporate professionals</li><li>✔ Sales teams</li><li>✔ Real estate agents</li><li>✔ Entrepreneurs & startups</li><li>✔ Networking events</li></ul>",1,,PS-001,Options,16pt+UV,,0,Standard Business Cards Printing Dubai | eprint.ae,,"Standard Business Cards printing in Dubai, UAE - eprint.ae"
variation,PS-014,18pt Gloss Lam,1,visible,"Make a lasting first impression with crisp, full-colour standard business cards printed on premium card stock. Available in multiple sizes and weights to suit any brand.","<div class=""ea-prod-desc""><p>Your business card is often the first physical touchpoint a client has with your brand. At eprint.ae, our standard business cards are printed using high-resolution digital presses that deliver sharp text, vibrant colours, and consistent quality across every card in your order. Choose from a range of card stock weights and coating options to find the finish that best represents your business. Whether you are a startup building your first brand identity or an established corporate ordering in bulk, we offer fast turnaround times with free delivery across Dubai, Sharjah, and Abu Dhabi. Our team ensures colour accuracy and clean cutting on every batch, so your cards always look professional. Upload your ready artwork or let our design team help you create something exceptional.</p></div>
<h4>🏆 Key Features</h4><ul><li>✔ Full-colour CMYK printing</li><li>✔ Sharp text and fine detail reproduction</li><li>✔ Multiple card stock weights available</li><li>✔ Fast turnaround – standard and express options</li><li>✔ Free delivery across UAE</li><li>✔ Consistent colour across all cards</li><li>✔ Compatible with standard business card holders</li></ul>
<h4>📋 Material / Substrate Options</h4><ul><li>✔ 14pt Gloss Card</li><li>✔ 16pt Gloss Card</li><li>✔ 18pt Matte/Silk Laminated</li><li>✔ 13pt Uncoated</li><li>✔ 14pt Writable</li></ul>
<h4>✨ Finish Options</h4><ul><li>✔ Matte Lamination</li><li>✔ Gloss UV</li><li>✔ Aqueous Coating (AQ)</li><li>✔ Soft Touch Lamination</li><li>✔ Uncoated</li></ul>
<h4>💼 Ideal Use Cases</h4><ul><li>✔ Corporate professionals</li><li>✔ Sales teams</li><li>✔ Real estate agents</li><li>✔ Entrepreneurs & startups</li><li>✔ Networking events</li></ul>",1,,PS-001,Options,18pt Gloss Lam,,0,Standard Business Cards Printing Dubai | eprint.ae,,"Standard Business Cards printing in Dubai, UAE - eprint.ae"
variation,PS-015,18pt Matte/Silk Lam,1,visible,"Make a lasting first impression with crisp, full-colour standard business cards printed on premium card stock. Available in multiple sizes and weights to suit any brand.","<div class=""ea-prod-desc""><p>Your business card is often the first physical touchpoint a client has with your brand. At eprint.ae, our standard business cards are printed using high-resolution digital presses that deliver sharp text, vibrant colours, and consistent quality across every card in your order. Choose from a range of card stock weights and coating options to find the finish that best represents your business. Whether you are a startup building your first brand identity or an established corporate ordering in bulk, we offer fast turnaround times with free delivery across Dubai, Sharjah, and Abu Dhabi. Our team ensures colour accuracy and clean cutting on every batch, so your cards always look professional. Upload your ready artwork or let our design team help you create something exceptional.</p></div>
<h4>🏆 Key Features</h4><ul><li>✔ Full-colour CMYK printing</li><li>✔ Sharp text and fine detail reproduction</li><li>✔ Multiple card stock weights available</li><li>✔ Fast turnaround – standard and express options</li><li>✔ Free delivery across UAE</li><li>✔ Consistent colour across all cards</li><li>✔ Compatible with standard business card holders</li></ul>
<h4>📋 Material / Substrate Options</h4><ul><li>✔ 14pt Gloss Card</li><li>✔ 16pt Gloss Card</li><li>✔ 18pt Matte/Silk Laminated</li><li>✔ 13pt Uncoated</li><li>✔ 14pt Writable</li></ul>
<h4>✨ Finish Options</h4><ul><li>✔ Matte Lamination</li><li>✔ Gloss UV</li><li>✔ Aqueous Coating (AQ)</li><li>✔ Soft Touch Lamination</li><li>✔ Uncoated</li></ul>
<h4>💼 Ideal Use Cases</h4><ul><li>✔ Corporate professionals</li><li>✔ Sales teams</li><li>✔ Real estate agents</li><li>✔ Entrepreneurs & startups</li><li>✔ Networking events</li></ul>",1,,PS-001,Options,18pt Matte/Silk Lam,,0,Standard Business Cards Printing Dubai | eprint.ae,,"Standard Business Cards printing in Dubai, UAE - eprint.ae"
variation,PS-016,14pt+AQ,1,visible,"Make a lasting first impression with crisp, full-colour standard business cards printed on premium card stock. Available in multiple sizes and weights to suit any brand.","<div class=""ea-prod-desc""><p>Your business card is often the first physical touchpoint a client has with your brand. At eprint.ae, our standard business cards are printed using high-resolution digital presses that deliver sharp text, vibrant colours, and consistent quality across every card in your order. Choose from a range of card stock weights and coating options to find the finish that best represents your business. Whether you are a startup building your first brand identity or an established corporate ordering in bulk, we offer fast turnaround times with free delivery across Dubai, Sharjah, and Abu Dhabi. Our team ensures colour accuracy and clean cutting on every batch, so your cards always look professional. Upload your ready artwork or let our design team help you create something exceptional.</p></div>
<h4>🏆 Key Features</h4><ul><li>✔ Full-colour CMYK printing</li><li>✔ Sharp text and fine detail reproduction</li><li>✔ Multiple card stock weights available</li><li>✔ Fast turnaround – standard and express options</li><li>✔ Free delivery across UAE</li><li>✔ Consistent colour across all cards</li><li>✔ Compatible with standard business card holders</li></ul>
<h4>📋 Material / Substrate Options</h4><ul><li>✔ 14pt Gloss Card</li><li>✔ 16pt Gloss Card</li><li>✔ 18pt Matte/Silk Laminated</li><li>✔ 13pt Uncoated</li><li>✔ 14pt Writable</li></ul>
<h4>✨ Finish Options</h4><ul><li>✔ Matte Lamination</li><li>✔ Gloss UV</li><li>✔ Aqueous Coating (AQ)</li><li>✔ Soft Touch Lamination</li><li>✔ Uncoated</li></ul>
<h4>💼 Ideal Use Cases</h4><ul><li>✔ Corporate professionals</li><li>✔ Sales teams</li><li>✔ Real estate agents</li><li>✔ Entrepreneurs & startups</li><li>✔ Networking events</li></ul>",1,,PS-001,Options,14pt+AQ,,0,Standard Business Cards Printing Dubai | eprint.ae,,"Standard Business Cards printing in Dubai, UAE - eprint.ae"
variation,PS-017,16pt+AQ,1,visible,"Make a lasting first impression with crisp, full-colour standard business cards printed on premium card stock. Available in multiple sizes and weights to suit any brand.","<div class=""ea-prod-desc""><p>Your business card is often the first physical touchpoint a client has with your brand. At eprint.ae, our standard business cards are printed using high-resolution digital presses that deliver sharp text, vibrant colours, and consistent quality across every card in your order. Choose from a range of card stock weights and coating options to find the finish that best represents your business. Whether you are a startup building your first brand identity or an established corporate ordering in bulk, we offer fast turnaround times with free delivery across Dubai, Sharjah, and Abu Dhabi. Our team ensures colour accuracy and clean cutting on every batch, so your cards always look professional. Upload your ready artwork or let our design team help you create something exceptional.</p></div>
<h4>🏆 Key Features</h4><ul><li>✔ Full-colour CMYK printing</li><li>✔ Sharp text and fine detail reproduction</li><li>✔ Multiple card stock weights available</li><li>✔ Fast turnaround – standard and express options</li><li>✔ Free delivery across UAE</li><li>✔ Consistent colour across all cards</li><li>✔ Compatible with standard business card holders</li></ul>
<h4>📋 Material / Substrate Options</h4><ul><li>✔ 14pt Gloss Card</li><li>✔ 16pt Gloss Card</li><li>✔ 18pt Matte/Silk Laminated</li><li>✔ 13pt Uncoated</li><li>✔ 14pt Writable</li></ul>
<h4>✨ Finish Options</h4><ul><li>✔ Matte Lamination</li><li>✔ Gloss UV</li><li>✔ Aqueous Coating (AQ)</li><li>✔ Soft Touch Lamination</li><li>✔ Uncoated</li></ul>
<h4>💼 Ideal Use Cases</h4><ul><li>✔ Corporate professionals</li><li>✔ Sales teams</li><li>✔ Real estate agents</li><li>✔ Entrepreneurs & startups</li><li>✔ Networking events</li></ul>",1,,PS-001,Options,16pt+AQ,,0,Standard Business Cards Printing Dubai | eprint.ae,,"Standard Business Cards printing in Dubai, UAE - eprint.ae"
